City,Longitude,Latitude
London,-0.1276,51.5072
Birmingham,-1.8904,52.4862
Manchester,-2.2426,53.4808
Leeds,-1.5491,53.8008
Liverpool,-2.9916,53.4084
Newcastle upon Tyne,-1.6178,54.9783
Middlesbrough,-1.234,54.5742
Sheffield,-1.4701,53.3811
Nottingham,-1.1505,52.9548
Leicester,-1.1339,52.6369
Bristol,-2.5879,51.4545
Cardiff,-3.1791,51.4816
Glasgow,-4.2518,55.8642
Edinburgh,-3.1883,55.9533
Aberdeen,-2.0943,57.1497
Dundee,-2.9707,56.462
Belfast,-5.9301,54.5973
Southampton,-1.4044,50.9097
Portsmouth,-1.088,50.8058
Plymouth,-4.1427,50.3755
Exeter,-3.5339,50.7184
Norwich,1.2974,52.6309
Cambridge,0.1218,52.2053
Oxford,-1.2577,51.752
Reading,-0.9781,51.4543
Milton Keynes,-0.7594,52.0406
Coventry,-1.5106,52.4068
Derby,-1.4756,52.9225
Hull,-0.3367,53.7457
Grimsby,-0.0815,53.5675
Scunthorpe,-0.6544,53.589
Immingham,-0.186,53.612
Teesside,-1.16,54.56
Redcar,-1.073,54.617
Hartlepool,-1.211,54.685
Runcorn,-2.731,53.341
Ellesmere Port,-2.896,53.278
Stanlow,-2.9,53.28
Port Talbot,-3.78,51.59
Swansea,-3.9436,51.6214
Grangemouth,-3.721,56.01
Fawley,-1.366,50.84
Humberside,-0.4,53.7
